the_geom,OBJECTID,Business Name,Address,Suite,Zip,Phone Number
POINT (-90.014875401181 30.010130317941),123,FOOD PLUS,6232 CHEF MENTEUR HWY,UNIT A,70126,504-246-2628
POINT (-90.078228009937 29.993840794513),296,STOPJOCKIN,3600 JUMONVILLE ST,,70122,
POINT (-90.092276675018 29.939631140245),64,CENTRAL CITY GROCERY #3,2611 WASHINGTON AVE,,70113,
POINT (-90.065096667332 29.950860511482),230,OMNI LLC,333 CANAL ST,STE 333,70130,814-521-9012
POINT (-89.974647245189 30.01754198289),202,MINI MARKET DON VILLA,9511 CHEF MENTEUR HWY,STE #102,70127,
POINT (-90.048008168511 29.977125829774),127,FRANKLIN FOOD MART,1843 FRANKLIN AVE,,70117,
POINT (-89.984049667321 29.923220297258),25,BENNS GROCERY,6445 ISADORE ST,,70131,504-394-5800
POINT (-90.076989294557 29.951922709288),271,SAM'S MEAT MARKET,8426 I 10 SERVICE RD,,70127,
POINT (-90.076989294557 29.951922709288),55,CANAL FUEL MART,4701 CANAL STREET,,70119,
POINT (-90.068762481289 29.953296670627),223,NOLA STYLE DE VIE,635 CANAL ST,,70130,
POINT (-90.066684402037 29.947361153343),170,LAFAYETTE MINI MART,322 LAFAYETTE ST,,70130,504-522-1710
POINT (-89.97902656146 30.051703843972),63,CASTNET,10826 HAYNE BLVD,,70127,
POINT (-90.079161074226 29.944684686488),107,EARHART 169,2000 EARHART BLVD,,70113,
POINT (-90.118667263273 29.941047550523),47,BRUFF STUFF,31 MCALISTER DR,,70118,504-865-5293
POINT (-90.064771372019 29.958102386236),264,ROUSES MARKET #30,701 ROYAL ST,,70116,504-447-5998
POINT (-90.066380753172 29.95102175518),50,CAJUN COUNTRY STORE,400 CANAL ST,,70130,504-586-8753
POINT (-90.066028246976 29.961328059028),243,QUARTER GROCERY & DELI,836 BURGUNDY ST,,70116,504-529-2702
POINT (-89.959491208141 30.045109414721),228,NS DISCOUNT EXPRESS,6041 BULLARD AVE,,70128,
POINT (-90.133750108902 29.950718202179),161,JSK DISCOUNT,8539 OAK ST,STE #A,70118,
POINT (-90.021204489649 30.010279161891),118,FAST STOP,5855 CHEF MENTEUR HWY,,70126,504-635-5661
POINT (-90.096752672849 29.954871356058),253,RESTAURANT DEPOT,1111 S BROAD ST,,70125,504-822-8881
POINT (-90.077627154369 29.980972783999),136,"GENTILLY DISCOUNT,LLC",1629 GENTILLY BLVD,,70119,
POINT (-90.076688850127 29.962241854081),137,GLORIA'S GROCERY,1800 CONTI ST,,70112,
POINT (-90.120664034947 29.957054464413),257,ROBERT FRESH MARKET #124,8115 S CLAIBORNE AVE,,70118,
POINT (-90.095945301669 29.948297537148),139,GOOD GOOD COFFEE,2518 S MIRO ST,,70125,
POINT (-90.127487712864 29.963772003863),215,NEW ORLEANS SAUSAGE COMPANY,2525 HAMILTON ST,,70118,
POINT (-90.064357803439 29.961789081768),194,MATASSA'S MARKET,1001 DAUPHINE ST,,70116,504-412-8700
POINT (-90.10707115022 29.920594604826),246,RAINBOW GROCERY,4837 MAGAZINE ST,,70115,
POINT (-90.069829056332 29.955721905122),95,DAUPHINE FOOD MART,215 DAUPHINE ST,,70112,
POINT (-90.071449071823 29.982083405195),197,MID CITY MARKET,2526 ST BERNARD AVE,,70119,504-324-9273
POINT (-90.096278156115 29.96418221119),163,K & T FOOD STORE,3204 TULANE AVE,,70119,
POINT (-90.033606593077 29.965625339),190,MAGNOLIA SUPERMARKET # 3,4131 ST CLAUDE AVE,,70117-5336,504-948-2224
POINT (-90.091364216493 29.944658711818),287,SOUTH CLAIBORNE MARKET,2349 S CLAIBORNE AVE,,70125,
POINT (-90.117321255614 30.005890747715),173,LAKEVIEW MINI MART,207 W HARRISON AVE,,70124,504-872-0522
POINT (-89.911706155856 30.037540629644),201,MINH CANH SUPERMARKET,4661 ALCEE FORTIER BLVD,STE C-D,70129,
POINT (-90.027092734627 30.032274434874),288,SPEED RACER,8020 DOWNMAN RD,104,70126,504-248-2005
POINT (-90.001739059241 30.011739043564),207,NATAL'S SUPERMARKET,7342 CHEF MENTEUR HWY,,70126,504-362-3911
POINT (-90.025441724898 29.927311712994),94,DAT'S CAJUN SEAFOOD,3020 GENERAL DE GAULLE DR,,70114,504-362-8252
POINT (-89.963239246408 30.048361891587),109,EASTOVER MARKET,7050 BULLARD AVE,,70128,504-244-0741
POINT (-90.041062020337 29.945352416292),222,NOLA FOOD MART,943 WHITNEY AVE,,70114,985-856-6088
POINT (-90.061142064221 29.95874955114),283,SIDNEY'S WINE CELLAR,917 DECATUR ST,,70116,
POINT (-90.018374924861 29.967454849947),131,FUEL N MART,5201 N CLAIBORNE AVE,,70117,
POINT (-90.091631734139 29.929169182979),181,LOUISIANA SUPER SAVER,1641 LOUISIANA AVE,A,70115,504-891-6670
POINT (-90.107691684146 29.976411409416),229,OLYMPIA FOOD STORE INC,301 S OLYMPIA ST,,70119,504-231-4883
POINT (-89.927778207906 30.032576046553),195,MATT'S GROCERY 2,4655 MICHOUD BLVD,,70129,
POINT (-90.011466385707 30.037513036258),132,FUEL N MART,7220 HAYNE BLVD,,70126,
POINT (-89.913328321234 30.041606935473),135,GARIFUNA MARKET,14402 DWYER BLVD,,70129,
POINT (-90.076989294557 29.951922709288),3,ADAMS FOOD STORE #3,3001 BIENVILLE ST,,70119-5401,504-861-1120
POINT (-90.088267302362 29.942792436572),188,MAGNOLIA SUPERMARKET,2201 MAGNOLIA ST,,70113,504-523-0017
POINT (-90.096821081852 29.976576256069),263,ROUSES MARKET #29(CARROLLTON),400 N CARROLLTON AVE,,70119,
POINT (-89.967193907869 30.018323343739),303,TAN VIET WAREHOUSE,10100 CHEF MENTEUR HWY,,70127,504-241-9903
POINT (-90.080635412263 29.923533111714),219,NICKS SUPERMARKET,746 WASHINGTON AVE,,70130,
POINT (-90.090161901843 29.937801891841),130,FRIENDLY SUPERMARKET,2704 LA SALLE ST,,70113,
POINT (-90.069988912638 29.952153906983),268,S & K GIFT AND SNACKS,201 ST CHARLES AVE,#223,70170,
POINT (-89.912066147199 30.039183783686),183,LY'S SUPERMARKET,14401 PELTIER DR,130,70129,504-254-4380
POINT (-89.989134921084 30.04670832449),144,HABIBI GROCERY,9530 HAYNE BLVD,,70127,504-220-8250
POINT (-90.123197589996 29.962114347706),196,MCKENZIE FOOD STORE,8638 BELFAST ST,,70118,504-866-4970
POINT (-90.086452516052 29.943962410888),164,KELLER MARKET FOOD STORE,1802 MAGNOLIA ST,,70113,504-523-8648
POINT (-90.04158844227 29.929638574716),221,NOLA DISCOUNT FOOD STORE,2204 L B LANDRY AVE,,70114,
POINT (-90.068459565509 29.952451187846),97,DEEP SOUTH TRADING CO,600 CANAL ST,,70130,504-586-8753
POINT (-90.108248729479 29.935080936354),129,FRERET STOP,4929 FRERET ST,,70115,
POINT (-89.98063037259 30.015005672617),12,ARACELY TIENDA HISPANA LLC,9000 CHEF MENTEUR HWY,A,70127,
POINT (-90.076989294557 29.951922709288),292,ST. LOUIS MARKET,730 ST. LOUIS STREET,,70130,504-451-6811
POINT (-90.048156460637 29.973748870562),245,QUICKIES DISCOUNT,1535 FRANKLIN AVE,,70117,504-259-3655
POINT (-89.991699695334 30.02762875068),40,BROTHERS FOOD MART  NO 132,5701 CROWDER BLVD,,70127,504-366-2413
POINT (-90.01927611874 29.938688005792),7,ALGIERS DISCOUNT FOOD STORE,3549 GENERAL MEYER AVE,,70114,
POINT (-90.046035942576 30.002410598446),30,BOILING POT AT GENTILLY,3868 GENTILLY BLVD,,70122,
POINT (-90.085893105983 29.945171053157),39,BROTHERS DISCOUNT,2701 MARTIN LUTHER KING JR BLVD,,70113,504-525-5300
POINT (-90.014464227185 29.920483535643),266,ROUSES MARKET #36(DE GAULLE),4001 GENERAL DE GAULLE DR,,70114,985-447-5998
POINT (-90.018529134678 29.92403131143),37,BROTHER FOOD MART NO. 136,3622 GENERAL DE GAULLE DR,,70114,504-366-2413
POINT (-90.087055167956 29.949597786144),62,CART JOHNNY SMITH WHLS LLC,2920 EARHART BLVD,,70125,504-524-4196
POINT (-90.061506984558 29.964690060342),111,ESPLANADE MINI MART,839 ESPLANADE AVE,,70116,504-329-8179
POINT (-90.038217741155 29.977338645439),240,POPPA'S SEAFOOD & DELI,3311 N GALVEZ ST,,70117,504-947-3373
POINT (-90.070845373972 29.950951130263),205,MOMS MINI MART,327 ST CHARLES AVE,,70130,504-596-2223
POINT (-90.020639725897 29.925316567452),198,MIKE'S DISCOUNT 2,3600 MACARTHUR BLVD,B-2,70114,504-368-1350
POINT (-90.046917508466 29.981273777034),191,MAMA'S COOKING,2722 N TONTI ST,,70117,
POINT (-90.076989294557 29.951922709288),93,DAP MINISTRIES OUTLET,1234 PRESS DR,,70117,
POINT (-90.061956772381 29.967917482703),2,A & M FOOD STORE,1741 JOSEPH GUILLAUME PL,,70116,
POINT (-90.059023644688 29.973014812352),297,SUNSHINE FOOD MARKET,2020 N CLAIBORNE AVE,,70116,504-304-6135
POINT (-89.981250612467 30.014991441964),285,SOHANA GROCERY,8900 CHEF MENTEUR HWY,,70127,504
POINT (-90.082568661226 29.942860681516),241,PROJECT FOOD STORE #2,2238 MARTIN LUTHER KING JR BLVD,,70113,504-586-1762
POINT (-90.084367260284 29.943846847443),22,BAYOU FOOD STORE OF N. O,2432 MARTIN LUTHER KING JR BLVD,,70113,504-522-1004
POINT (-90.08133661069 29.972096466228),187,MAGNOLIA MEAT MARKET,900 N BROAD ST,,70119,504-827-1281
POINT (-90.072153981133 29.954910959124),23,BAYOU GIFTS,1000 CANAL ST,,70130,
POINT (-89.97762350639 30.03850855821),52,CAJUN SEAFOOD #4,7020 READ BLVD,,70127,504-241-1396
POINT (-90.071705469347 29.983691972989),227,NORTH BROAD SUPERMARKET,1901 N BROAD ST,,70119,504-945-7369
POINT (-89.980786717109 30.042348592751),248,READ SEAFOOD,7340 READ BLVD,,70127,504-377-8892
POINT (-90.081520352995 29.967798519509),259,ROCHEBLAVE FOOD STORE,601 N ROCHEBLAVE ST,,70119,
POINT (-90.057212000722 29.978814292306),91,DANNY FOOD STORE,2101 ELYSIAN FIELDS AVE,,70117,
POINT (-90.105419636393 30.005017634301),172,LAKEVIEW GROCERY,801 HARRISON AVE,,70124,504-207-0162
POINT (-90.076989294557 29.951922709288),299,SWIRL,3141 3143 PONCE DE LEON ST,,70119,504-304-0635
POINT (-89.972487173775 30.046546723894),167,KWIK PIK,11040 MORRISON RD,,70127,504-606-2833
POINT (-90.10238926156 29.916910432706),261,ROUSES MARKET #26,4500 TCHOUPITOULAS ST,,70115,504-896-7910
POINT (-90.096031144406 29.937276218218),165,KEY FOOD STORE,2600 LOUISIANA AVE,,70115,504-897-6514
POINT (-90.089376595353 29.962930649381),32,BROAD & BANKS SEAFOOD,342 S BROAD ST,,70119,
POINT (-90.090535669739 29.937588147639),286,SOUL'S SEAFOOD MARKET #1,2732 LASALLE ST,,70113,
POINT (-89.960450915049 30.020878530563),203,MINI MARKET LA CONSENTIDA LLC,10715 CHEF MENTEUR HWY,STE A,70127,
POINT (-90.084739222525 29.968093863639),138,GOLDEN EXPRESS,400 N BROAD ST,,70119,
POINT (-90.09299298299 29.931916183708),115,FAMILY DISCOUNT STORE,1935 LOUISIANA AVE,,70115,504-895-4272
POINT (-90.064811286358 29.98138426885),254,RICHARD'S FOOD STORE,2001 N ROCHEBLAVE ST,,70119,504-944-2891
POINT (-90.113419520221 29.946207863374),29,BIRDIES CLAIBORNE,6229 S CLAIBORNE AVE,,70117,985-308-0022
POINT (-90.071760684628 29.988947579743),204,MIRACLES TO GO,3040 BRUXELLES ST,,70119,504-252-8290
POINT (-90.051787888571 29.979962442149),277,SAVERS 2,2440 N MIRO ST,,70117,225 337 4285
POINT (-90.0400759319 29.944971979583),176,LAWSON'S GROCERY & DELI,1625 NEWTON ST,,70114-2604,504-368-4958
POINT (-90.076440640472 29.929661233979),159,JEWEL'S FOOD STORE,2136 MAGAZINE ST,,70130,504-524-9355
POINT (-90.012855752183 29.971371185869),134,GALVEZ GOODIES,2036 CAFFIN AVE,,70117,504-319-5886
POINT (-90.099010576937 29.941069657974),140,GOPUFF,3701 S CLAIBORNE AVE,,70125,401-327-1254
POINT (-89.989427025353 30.024450327616),169,LA FOOD,5200 CROWDER BLVD,,70127,504-638-1350
POINT (-90.094371638917 29.965858020913),236,PARAISO GROCERY,3128 BANKS ST,,70119,
POINT (-90.076989294557 29.951922709288),213,NEW ORLEANS FISH HOUSE LLC,921  DUPRE ST,,70125,504-821-9700
POINT (-89.927411706044 30.031851359283),66,CHEF CHEVRON,13301 CHEF MENTEUR HWY,,70129,504-254-8984
POINT (-90.076989294557 29.951922709288),214,NEW ORLEANS FOOD CO-OP,2372 ST. CLAUDE AVENUE,STE. 110,70117,504-324-6849
POINT (-90.09173668005 29.919281850904),20,BARCIA'S GROCERY INC,3633 ANNUNCIATION ST,,70115,504-899-9111
POINT (-90.054241836446 29.969012037347),244,QUICK STOP SHOP,2301 ST CLAUDE AVE,,70117,
POINT (-90.054762599341 29.9630263051),141,GRANDE KREWE,511 MARIGNY ST,,70117,
POINT (-90.099718212342 29.940895179154),162,K & T COMMUNITY,3733 S CLAIBORNE AVE,,70125,504-822-8915
POINT (-90.080638228044 29.974466255347),269,S EXPRESS FOOD STORE,2703 URSULINES AVE,,70119,
POINT (-90.008742662016 29.964337231061),189,MAGNOLIA SUPERMARKET,6100 N CLAIBORNE AVE,,70117,504-628-6781
POINT (-90.076989294557 29.951922709288),291,ST. CHARLES MARKET,303 ST. CHARLES AVE,,70130,
POINT (-90.035956879636 30.00513891837),133,FUEL ZONE,4500 CHEF MENTEUR HWY,,70126,
POINT (-90.020639725897 29.925316567452),280,SEAFOOD ZONE,3600 MACARTHUR BLVD,STE M,70114,504-367-0550
POINT (-90.080668951256 29.943954731005),142,GUSTE HOMES RESIDENT MANAGEMENT CORPORATION,1301 SIMON BOLIVAR AVE,,70113,
POINT (-90.076989294557 29.951922709288),212,NEW ORLEANS FISH HOUSE,P.O BOX 4126,,70178,504-821-9700
POINT (-90.076989294557 29.951922709288),208,NEIGHBORHOOD DISCOUNT SUPERMARKET,3222 BARONNE ST,,70115,504-899-4954
POINT (-90.07926257345 29.96510239089),233,OVERFLOW MARKET & CAFE,432 N GALVEZ ST,,70116,
POINT (-90.054206857653 30.028183997923),265,ROUSES MARKET #35(GENTILLY),6600 FRANKLIN AVE,,70122,
POINT (-90.076989294557 29.951922709288),57,CANSECO'S CARROLLTON MARKET,1133 S CARROLLTON AVE AVE,,70118,
POINT (-90.068895456545 29.95962519443),234,P & J OYSTER CO,1039 TOULOUSE ST,,70112,504-523-2651
POINT (-90.078348211519 29.951267900741),224,NOLA SUNDRY,1450 POYDRAS ST,STE 120,70112,504-667-6932
POINT (-90.034488229446 29.992567882868),178,LOUISA MINI MART,3423 LOUISA ST,,70126,504-392-5513
POINT (-90.040495089397 29.945326564599),216,NEWTON CORNER MART,1600 NEWTON ST,,70114,
POINT (-90.07826949396 29.998946403644),166,KING FOOD STORE,4101 JUMONVILLE ST,,70122,
POINT (-90.118713740516 29.916084770997),304,TCHOUP-STOP,5600 TCHOUPITOULAS ST,,70115,504-595-3112
POINT (-90.076989294557 29.951922709288),98,DEXEMCA INC,1143 ST BERNARD,,70116,504-595-7385
POINT (-90.062683322551 29.966698347872),15,AYYAD RAMPART,1700 N RAMPART ST,,70116,
POINT (-90.056054896082 29.968358854848),256,ROBERT FRESH MARKET,2222 ST CLAUDE AVE,,70117,
POINT (-90.085840850946 29.96416984738),250,RED ZONE,2530  CANAL ST,,70119,616-337-0247
POINT (-90.08288634294 29.971298506485),232,ORLEANS CENTER MARKET,2707 ORLEANS AVE,,70119,
POINT (-90.129463224697 29.955137610335),302,T AND M FOOD MART,8601 HICKORY ST,,70118,504-915-9115
POINT (-90.036329126921 29.965571407892),220,NIKKI FOOD STORE,3900 ST CLAUDE AVE,,70117,504-945-6655
POINT (-90.035416980875 29.965899379565),199,MIKE'S FOOD MART,3935 ST CLAUDE AVE,,70117,225-573-4326
POINT (-90.077115563802 29.92953730034),294,STEIN'S MARKET AND DELI,2207 MAGAZINE ST,,70130,504-527-0771
POINT (-89.973931758757 30.032979759903),275,SAVE-A-LOT LAKE FOREST,9999 LAKE FOREST BLVD,,70127,
POINT (-90.067831029863 29.950467848896),209,NESBIT'S MAGAZINE STREET MARKET,301 MAGAZINE ST,,70130,
POINT (-90.119653822911 29.955581919067),298,SUPER SERVE,8023 S CLAIBORNE AVE,,70125,504-862-9079
POINT (-90.076989294557 29.951922709288),282,SHACK BROWN INVESTMENTS,120 N GALVEZ,,70119,
POINT (-90.063233957185 29.956002452179),27,BIG EASY MARDI GRAS CO,600 DECATUR ST,,70130,504-524-4729
POINT (-90.094224292105 29.933558016896),179,LOUISIANA MEAT MARKET,2136 LOUISIANA AVE,,70115,504-259-3651
POINT (-90.06711173033 29.952157164806),102,DIXIE MARKET,501 CANAL ST,,70130,504-586-8753
POINT (-90.07338263653 29.925467088509),301,T & T SEAFOOD,548 JACKSON AVE,,70130,
POINT (-90.096759500936 29.929135085263),193,MARTIN WINE CELLAR,3827 BARONNE ST,,70115,504-897-0191
POINT (-90.076989294557 29.951922709288),168,LA FAVORITA MARKET,3640 GENERAL DE GAULLE DR,,70114,504-217-1184
POINT (-90.073163333851 29.989042143521),281,SEATON SEAFOOD MARKET,3040 PARIS AVE,,70119,
POINT (-90.113504034513 30.025113324481),171,"LAKESHORE MARINE & FUEL, LLC",7840 LAKESHORE DR,,70124,504-723-3717
POINT (-90.079283058695 29.995957749312),289,SPIDERS  MEAT MARKET,3800 ST BERNARD AVE,,70122,504-455-8170
POINT (-90.049105787516 29.972033373326),177,LB SAINTS FOOD STORE,2601 N VILLERE ST,,70117,504-945-7799
POINT (-90.047663887495 29.976616712847),273,SAV-A-LOT,1841 ALMONASTER AVE,,70117,
POINT (-90.087753150927 29.924002275098),31,BREAUX MART SUPERMARKETS,3233 MAGAZINE ST,,70115,
POINT (-90.011105556545 29.959686103792),225,NOLA VILLAGE MARKET,6100 ST CLAUDE AVE,,70117,504-377-0670
POINT (-90.087191811039 29.932805949004),218,NEXT DOOR GROCERY,2733 BARONNE ST,,70113,
POINT (-90.041379393805 29.953988448223),255,RIVER FINE FOODS STORE,1403 PATTERSON ST,,70114,504-362-4795
POINT (-90.038540952832 29.97745500641),276,SAVERS,3233 N GALVEZ ST,,70117,504-518-0300
POINT (-90.080588160646 29.934384078034),290,ST CHARLES 155,2139 ST CHARLES AVE,,70130,
POINT (-90.089232387222 29.974850454542),160,JOHN & MARY FOOD STORE,3238 ORLEANS AVE,,70119,504-482-1144
POINT (-90.066932898 29.944944834434),210,NESBITS JULIA ST MARKET,333 JULIA ST,,70130,
POINT (-90.064759399398 29.941956775949),206,N'AWLINS GOODS,901 CONVENTION CENTER BLVD,STE 114,70130,
POINT (-90.074652351856 29.930853531636),186,MAGAZINE DISCOUNT MARKET,2000 MAGAZINE ST,,70130-5018,504-348-7617
POINT (-90.049790320384 29.972151382527),44,BROTHERS FRANKLIN,2509 N VILLERE ST,,70117,504-495-3342
POINT (-90.053327759356 29.997409977523),46,BROWN DERBY #4,3737 CLEMATIS ST,,70122,
POINT (-90.076989294557 29.951922709288),48,BUNN'S GROCERY,2438 BIENVILLE ST,,70119,
POINT (-90.066808496323 29.929229796583),16,AZ EXPRESS,1667 TCHOUPITOULAS ST,,70130,
POINT (-90.020827187447 29.962089767741),38,BROTHER'S ST CLAUDE,5104 ST CLAUDE AVE,A,70117,504-220-3777
POINT (-90.072237969408 29.957895506674),21,BASIN SUPERMARKET,237 BASIN ST,,70112,504-522-7947
POINT (-90.116208668355 29.950540239962),34,BROADWAY FOOD STORE,2223 BROADWAY ST,,70118-5409,504-861-0505
